step,reward,acc,fmt,len,clipped,mem,step_time,lr,ppl_abs_diff,ess,is_weight,clipped_frac,r_std,zero_std,grad,tr_ppl,ro_ppl,ent,ent_thr,soft_ol,clip_region
1,0.4384,0.2455,0.9777,1019,0.01339,31.84,54.39,1e-05,0.04971,0.9869,0.9955,0.001689,0.3391,0,0.005976,2.252,2.148,0.6973,1.618,-0.01339,0
2,0.4636,0.2679,0.9844,930.1,0,68.13,62.08,1e-05,0.0611,0.9869,0.9955,0.00197,0.4198,0,0.003745,2.494,2.344,0.7422,1.951,-0.005829,0
3,0.3884,0.192,0.9911,841.3,0.008929,68.13,43.72,1e-05,0.05816,0.9851,0.9938,0.00253,0.354,0,0.004346,2.577,2.433,0.7236,1.501,-0.008929,0
4,0.3295,0.1384,0.9732,938.4,0.01786,68.13,31.38,1e-05,0.05219,0.9849,0.995,0.002307,0.3448,0,0.003342,2.957,2.804,0.8612,2.094,-0.01786,0
5,0.4313,0.2455,0.9598,1149,0.02679,68.13,44.23,1e-05,0.06426,0.9816,0.9936,0.003379,0.3392,0,0.003595,2.867,2.643,0.8357,1.252,-0.03103,0
6,0.533,0.3438,0.9777,1339,0.01786,68.13,67.01,1e-05,0.05239,0.9841,0.9952,0.003162,0.3793,0,0.006545,2.37,2.231,0.7365,1.16,-0.03138,0
7,0.3923,0.2098,0.9576,1454,0.04018,68.13,58.85,1e-05,0.04457,0.9878,0.996,0.001814,0.394,0,0.005643,2.565,2.463,0.7825,2.008,-0.04527,0
8,0.4047,0.2143,0.9777,1195,0.01786,68.13,60.84,1e-05,0.04625,0.9888,0.996,0.001504,0.3963,0,0.005303,2.472,2.37,0.7466,1.722,-0.02583,0
9,0.4229,0.2277,0.9866,1116,0.008929,68.13,52.01,1e-05,0.05582,0.9843,0.993,0.00267,0.3777,0,0.004759,2.428,2.276,0.7456,1.46,-0.01059,0
10,0.5241,0.3259,0.9955,865.5,0,68.13,81.98,1e-05,0.0647,0.9842,0.9954,0.002501,0.4063,0,0.01273,2.549,2.397,0.7975,2.214,-0.004338,0
